song_title,artist,confidence,source_bvid,source_video_title,source_video_url,uploader
01,,0.96,BV1GV411c7Wd,【女王蜂/中日歌词/OP完整版】不死不幸OP「01」女王蜂【补档】,https://www.bilibili.com/video/BV1GV411c7Wd,Aki惊蛰
86-不存在的战区,SawanoHiroyuki 作词 : cAnON. 作曲 : 澤野弘之 音响：真力1234 录音MIC：纽曼149 2支 录音设备：SSL Duality Delta Pro Station + Protools 侵删,0.96,BV191LezCEYF,百万级录音棚听《86-不存在的战区-》片尾曲「Hands Up to the Sky」,https://www.bilibili.com/video/BV191LezCEYF,JLRS-jayfm
9Bang15便士,,0.96,BV18W411v7Cx,洛天依原创《9Bang15便士》,https://www.bilibili.com/video/BV18W411v7Cx,ilem
A Sky Full of Stars,会现场 今天这期视频,0.96,BV1Sg411675A,【4K60FPS】酷玩Coldplay《A Sky Full of Stars》超浪漫现场！,https://www.bilibili.com/video/BV1Sg411675A,音乐私藏馆
aLIEz,,0.96,BV1ut411B7io,【Ayasa】小提琴版《aLIEz》（泽野弘之）,https://www.bilibili.com/video/BV1ut411B7io,Ayasa绚沙
AMV｜进击的巨人,,0.96,BV1FZ4y1m774,《AMV｜进击的巨人》The Rumbling 地鸣｜中英歌词 (完整版)【进击的巨人最终季OP】,https://www.bilibili.com/video/BV1FZ4y1m774,葛雷特
Apologize,,0.96,BV18Q4y1q77h,【4K60FPS】共和时代《Apologize》核能现场！唱哭无数人的神曲！,https://www.bilibili.com/video/BV18Q4y1q77h,音乐私藏馆
are you OK,,0.96,BV1DW411R7BV,【原曲】雷军《are you OK》原曲,https://www.bilibili.com/video/BV1DW411R7BV,特斯欧拉
Avid,,0.96,BV1Pc411K7ag,【86-不存在的战区】百万级录音棚听 泽野弘之《Avid》TV动画《86-不存在的战区-》片尾曲【Hi-Res】,https://www.bilibili.com/video/BV1Pc411K7ag,JLRS-jayfm
Barricades,,0.96,BV1az4y1R7DA,曾经火遍全网的《Barricades》带你燃爆全场,https://www.bilibili.com/video/BV1az4y1R7DA,爱喝阿宅的可乐
Believer,,0.96,BV1SK411Q7y6,【4K60FPS】梦龙Imagine Dragons《Believer》万人大合唱现场！全场炸裂！,https://www.bilibili.com/video/BV1SK411Q7y6,音乐私藏馆
Best of my Love,,0.96,BV17x4y1d7aF,顶级品质试听《Best of my Love》宇宙战舰大和号片尾曲ed--在那些我们谈论着梦的夜晚，永远 永远 我的最爱【Hi-Res】,https://www.bilibili.com/video/BV17x4y1d7aF,seb塞巴
Butter-Fly,,0.96,BV1ey4y1t7cy,【4K60FPS】和田光司《Butter-Fly》核爆现场！永远的无限大！,https://www.bilibili.com/video/BV1ey4y1t7cy,音乐私藏馆
Call of Silence,,0.96,BV1bs4y1u7rk,在百万豪装录音棚大声听 进击的巨人ost 澤野弘之《Call of Silence》【Hi-res】,https://www.bilibili.com/video/BV1bs4y1u7rk,JLRS-LeoFM
Counting Stars,,0.96,BV1YP4y1L7mW,【4K60FPS】共和时代《Counting Stars》核能现场！一起来数星星吧！,https://www.bilibili.com/video/BV1YP4y1L7mW,音乐私藏馆
Cycle Of Sorrow,,0.96,BV1gn4y1R7vJ,【中日歌词/钻石星尘新曲/完整版】哭泣少女乐队(闺泣) 「Cycle Of Sorrow」钻石星尘【无损音质】,https://www.bilibili.com/video/BV1gn4y1R7vJ,Aki惊蛰
Daddy ! Daddy ! Do !,,0.96,BV1XV4y1E7hz,【4K顶级画质】辉夜大小姐OP《Daddy ! Daddy ! Do !》现场，爱了爱了！！！,https://www.bilibili.com/video/BV1XV4y1E7hz,蚕豆音乐侠
Daydream café,点兔OP「Daydream café」,0.96,BV1ABxxeNEsU,【中日字幕】山田凉(CV.水野朔)翻唱点兔OP「Daydream café」【孤独摇滚×Kirara展翻唱企划】,https://www.bilibili.com/video/BV1ABxxeNEsU,百億_光年
deja vu,,0.96,BV1Lt411y7N4,逮虾户原曲《deja vu》,https://www.bilibili.com/video/BV1Lt411y7N4,Freehub123
Despacito,,0.96,BV1J14y1g7Gh,【4K珍藏】火爆全球的神曲《Despacito》！你会唱了吗？！,https://www.bilibili.com/video/BV1J14y1g7Gh,4K音乐馆
Despacito,西语神曲《Despacito》,0.96,BV1zF411A7MM,【Kobo】女儿演唱西语神曲《Despacito》,https://www.bilibili.com/video/BV1zF411A7MM,澄田花苗
Despacito,火爆全球的《Despacito》,0.96,BV1hx411n7m3,小姐姐J.Fla惊艳翻唱火爆全球的《Despacito》,https://www.bilibili.com/video/BV1hx411n7m3,YARGEL
DJ OKAWARI,,0.96,BV1zx411f7Kx,《DJ OKAWARI》Flower Dance（花之舞）高品质，进来听歌,https://www.bilibili.com/video/BV1zx411f7Kx,Pigeon老硬币
Dr.STONE石纪元 第二季,金澤ダイスケ,0.96,BV1FN411R7i7,「Dr.STONE石纪元 第二季」OP主题曲完整版「楽園」/ フジファブリック【中字歌詞】,https://www.bilibili.com/video/BV1FN411R7i7,百億_光年
drop pop candy,hanser x 鹿乃 原唱 「REOL - drop pop candy」 Lyrics,0.96,BV19C4y1t7YU,【hanser x 鹿乃】 《drop pop candy》翻唱,https://www.bilibili.com/video/BV19C4y1t7YU,鹿乃ちゃん
Enemy,,0.96,BV1k8411e7pH,【4K60FPS】梦龙Imagine Dragons x J.I.D《Enemy》核能现场！翻过那座山！,https://www.bilibili.com/video/BV1k8411e7pH,音乐私藏馆
Faded,。该曲在2015年12月4日以单曲形式发行,0.96,BV1GL411P7dX,【4K珍藏】神曲《Faded》嗨爆全场！让你爱上电音！,https://www.bilibili.com/video/BV1GL411P7dX,4K音乐馆
Fire,,0.96,BV1vk6GYPE8y,【4K 60帧】超强live！周深《Fire》燃爆全场！【2024B站跨年晚会单品】,https://www.bilibili.com/video/BV1vk6GYPE8y,哔哩哔哩晚会
Flower Dance,,0.96,BV1Q4411h7Xk,《Flower Dance》超还原钢琴演奏版,https://www.bilibili.com/video/BV1Q4411h7Xk,up初相识
Gimme×Gimme feat. 初音ミク・鏡音リン,初音ミク・鏡音リン」,0.96,BV1CE411a7WH,八王子P × Giga「Gimme×Gimme feat. 初音ミク・鏡音リン」,https://www.bilibili.com/video/BV1CE411a7WH,八王子P_公式
Go Go Go Go,,0.96,BV18v4y137c9,《Go Go Go Go》“我的肩上是风 风上是闪烁的星群｜日推歌单,https://www.bilibili.com/video/BV18v4y137c9,Lohas-VII
Good Time,的一首流行歌曲,0.96,BV1L84y1t77K,【4K珍藏】火爆全球的神曲《Good Time》！听完一整天都是好心情！,https://www.bilibili.com/video/BV1L84y1t77K,4K音乐馆
Heart of Gold,,0.96,BV1H9u8zcE2p,【咚奇刚:蕉力全开】主题曲《Heart of Gold》完整版（中字）,https://www.bilibili.com/video/BV1H9u8zcE2p,皓禹单推人
Hymn For The Weekend,,0.96,BV1LA4y1D7jA,【4K60FPS】酷玩Coldplay、Beyoncé《Hymn For The Weekend》梦幻联动爆火神曲！,https://www.bilibili.com/video/BV1LA4y1D7jA,音乐私藏馆
I Hate Myself For Loving You,,0.96,BV1HA411A7nL,【4K修复】摇滚女皇Joan Jett《I Hate Myself For Loving You》经典MV！简单而纯粹的摇滚乐！,https://www.bilibili.com/video/BV1HA411A7nL,聆听无限
I Want My Tears Back,,0.96,BV1aY4y1j7oD,一开口就燃炸了！夜愿《I Want My Tears Back》震撼现场！直接起飞~,https://www.bilibili.com/video/BV1aY4y1j7oD,4K音乐馆
If We Never Broke Up,,0.96,BV1HF411d7iw,这可是多巴胺的小曲！｜《If We Never Broke Up》,https://www.bilibili.com/video/BV1HF411d7iw,星痴_Daily_
Immortals,,0.96,BV1kt411Y7Qs,《Immortals》超能陆战队主题曲-Fall Out Boy,https://www.bilibili.com/video/BV1kt411Y7Qs,Y枫叶Y-bili
In the end,,0.96,BV1xz4y167t2,【4K60FPS】Linkin Park林肯公园《In the end》 核能现场！摇滚万岁！,https://www.bilibili.com/video/BV1xz4y167t2,音乐私藏馆
IVORY TOWER,SennaRin)》,0.96,BV14S4y1W7hX,【龙族动画】泽野弘之丨《IVORY TOWER》,https://www.bilibili.com/video/BV14S4y1W7hX,龙族动画官方
Jar Of Love,,0.96,BV17c411u7t6,【无损音质】《Jar Of Love》-曲婉婷,https://www.bilibili.com/video/BV17c411u7t6,迷茫久生
last of the wilds,,0.96,BV1Jt411p7t7,超然现场：Nightwish 夜愿 《last of the wilds》引燃全场，大型歌迷晕厥现场！,https://www.bilibili.com/video/BV1Jt411p7t7,阿尔伯特史塔克
Lemon Tree/柠檬树,的一首歌曲,0.96,BV1Ye411M7bS,【4K珍藏】《Lemon Tree/柠檬树》！英语老师狂喜！,https://www.bilibili.com/video/BV1Ye411M7bS,4K音乐馆
